wins,league,division_id,name,gameID,name_full,code,league_id,teamID,type,losses,file_code,abbrev,name_brief
3,AL,201,Boston,2012/03/07/gid_2012_03_07_bosmlb_tormlb_1/,Boston Red Sox,bos,103,111,away,0,bos,BOS,Red Sox
3,AL,201,Toronto,2012/03/07/gid_2012_03_07_bosmlb_tormlb_1/,Toronto Blue Jays,tor,103,141,home,2,tor,TOR,Blue Jays
2,NL,205,Chi Cubs,2012/03/07/gid_2012_03_07_chnmlb_kcamlb_1/,Chicago Cubs,chn,104,112,away,2,chc,CHC,Cubs
3,AL,202,Kansas City,2012/03/07/gid_2012_03_07_chnmlb_kcamlb_1/,Kansas City Royals,kca,103,118,home,2,kc,KC,Royals
1,NL,,Arizona,2012/03/07/gid_2012_03_07_clemlb_arimlb_1/,Arizona Diamondbacks,ari,104,109,home,4,ari,ARI,D-backs
2,AL,,Cleveland,2012/03/07/gid_2012_03_07_clemlb_arimlb_1/,Cleveland Indians,cle,103,114,away,2,cle,CLE,Indians
1,NL,203,Colorado,2012/03/07/gid_2012_03_07_colmlb_sfnmlb_1/,Colorado Rockies,col,104,115,away,2,col,COL,Rockies
3,NL,203,San Francisco,2012/03/07/gid_2012_03_07_colmlb_sfnmlb_1/,San Francisco Giants,sfn,104,137,home,2,sf,SF,Giants
1,NL,204,Miami,2012/03/07/gid_2012_03_07_fiubbc_miamlb_1/,Miami Marlins,mia,104,146,home,0,mia,MIA,Marlins
0,BE,,Florida International,2012/03/07/gid_2012_03_07_fiubbc_miamlb_1/,Florida International University Panthers,fiu,107,4468,away,1,t4468,FIU,Panthers
4,NL,205,Houston,2012/03/07/gid_2012_03_07_houmlb_phimlb_1/,Houston Astros,hou,104,117,away,1,hou,HOU,Astros
2,NL,204,Philadelphia,2012/03/07/gid_2012_03_07_houmlb_phimlb_1/,Philadelphia Phillies,phi,104,143,home,3,phi,PHI,Phillies
1,NL,,LA Dodgers,2012/03/07/gid_2012_03_07_lanmlb_oakmlb_1/,Los Angeles Dodgers,lan,104,119,away,1,la,LAD,Dodgers
4,AL,,Oakland,2012/03/07/gid_2012_03_07_lanmlb_oakmlb_1/,Oakland Athletics,oak,103,133,home,2,oak,OAK,Athletics
0,AL,,Chi White Sox,2012/03/07/gid_2012_03_07_milmlb_chamlb_1/,Chicago White Sox,cha,103,145,home,3,cws,CWS,White Sox
2,NL,,Milwaukee,2012/03/07/gid_2012_03_07_milmlb_chamlb_1/,Milwaukee Brewers,mil,104,158,away,1,mil,MIL,Brewers
2,AL,201,Baltimore,2012/03/07/gid_2012_03_07_minmlb_balmlb_1/,Baltimore Orioles,bal,103,110,home,2,bal,BAL,Orioles
3,AL,202,Minnesota,2012/03/07/gid_2012_03_07_minmlb_balmlb_1/,Minnesota Twins,min,103,142,away,3,min,MIN,Twins
2,NL,,NY Mets,2012/03/07/gid_2012_03_07_nynmlb_miamlb_1/,New York Mets,nyn,104,121,away,2,nym,NYM,Mets
1,NL,,Miami,2012/03/07/gid_2012_03_07_nynmlb_miamlb_1/,Miami Marlins,mia,104,146,home,2,mia,MIA,Marlins
2,NL,205,Cincinnati,2012/03/07/gid_2012_03_07_sdnmlb_cinmlb_1/,Cincinnati Reds,cin,104,113,home,2,cin,CIN,Reds
1,NL,203,San Diego,2012/03/07/gid_2012_03_07_sdnmlb_cinmlb_1/,San Diego Padres,sdn,104,135,away,4,sd,SD,Padres
2,AL,200,LA Angels,2012/03/07/gid_2012_03_07_seamlb_anamlb_1/,Los Angeles Angels,ana,103,108,home,1,ana,LAA,Angels
5,AL,200,Seattle,2012/03/07/gid_2012_03_07_seamlb_anamlb_1/,Seattle Mariners,sea,103,136,away,1,sea,SEA,Mariners
2,NL,,Washington,2012/03/07/gid_2012_03_07_slnmlb_wasmlb_1/,Washington Nationals,was,104,120,home,2,was,WSH,Nationals
0,NL,,St. Louis,2012/03/07/gid_2012_03_07_slnmlb_wasmlb_1/,St. Louis Cardinals,sln,104,138,away,2,stl,STL,Cardinals
1,AL,,Tampa Bay,2012/03/07/gid_2012_03_07_tbamlb_nyamlb_1/,Tampa Bay Rays,tba,103,139,away,4,tb,TB,Rays
2,AL,,NY Yankees,2012/03/07/gid_2012_03_07_tbamlb_nyamlb_1/,New York Yankees,nya,103,147,home,3,nyy,NYY,Yankees
