game_time_et,type,away_team_id,stadiumID,gameDate,gameID,local_gamE_time,gameday_sw,home_team_id,game_pk
04:05 PM,S,118,2524,2012/03/11,2012/03/11/gid_2012_03_11_kcamlb_oakmlb_1/,13:05,Y,133,332229
01:10 PM,S,146,2856,2012/03/11,2012/03/11/gid_2012_03_11_miamlb_nynmlb_1/,13:10,Y,121,332230
01:05 PM,S,147,2519,2012/03/11,2012/03/11/gid_2012_03_11_nyamlb_minmlb_1/,13:05,Y,142,332231
01:05 PM,S,143,2523,2012/03/11,2012/03/11/gid_2012_03_11_phimlb_nyamlb_1/,13:05,Y,147,332232
01:05 PM,S,134,2534,2012/03/11,2012/03/11/gid_2012_03_11_pitmlb_tbamlb_1/,13:05,Y,139,332233
04:05 PM,S,136,2532,2012/03/11,2012/03/11/gid_2012_03_11_seamlb_sfnmlb_1/,13:05,Y,137,332234
01:05 PM,S,141,2504,2012/03/11,2012/03/11/gid_2012_03_11_tormlb_atlmlb_2/,13:05,Y,144,332235
01:05 PM,S,120,2520,2012/03/11,2012/03/11/gid_2012_03_11_wasmlb_slnmlb_1/,13:05,Y,138,332236
04:05 PM,S,109,3834,2012/03/12,2012/03/12/gid_2012_03_12_arimlb_clemlb_1/,13:05,Y,114,332237
01:05 PM,S,144,2520,2012/03/12,2012/03/12/gid_2012_03_12_atlmlb_slnmlb_1/,13:05,Y,138,332238
01:05 PM,S,110,2536,2012/03/12,2012/03/12/gid_2012_03_12_balmlb_tormlb_1/,13:05,Y,141,332239
04:05 PM,S,113,2507,2012/03/12,2012/03/12/gid_2012_03_12_cinmlb_chnmlb_1/,13:05,Y,112,332240
07:05 PM,S,117,2523,2012/03/12,2012/03/12/gid_2012_03_12_houmlb_nyamlb_1/,19:05,Y,147,332241
04:05 PM,S,119,2500,2012/03/12,2012/03/12/gid_2012_03_12_lanmlb_anamlb_1/,13:05,Y,108,332242
01:35 PM,S,146,4309,2012/03/12,2012/03/12/gid_2012_03_12_miamlb_bosmlb_1/,13:35,Y,111,332243
01:05 PM,S,142,2534,2012/03/12,2012/03/12/gid_2012_03_12_minmlb_tbamlb_1/,13:05,Y,139,332244
01:05 PM,S,121,2511,2012/03/12,2012/03/12/gid_2012_03_12_nynmlb_detmlb_1/,13:05,Y,116,332245
04:05 PM,S,133,3809,2012/03/12,2012/03/12/gid_2012_03_12_oakmlb_chamlb_1/,13:05,Y,145,332246
01:05 PM,S,143,2526,2012/03/12,2012/03/12/gid_2012_03_12_phimlb_pitmlb_1/,13:05,Y,134,332247
04:10 PM,S,135,4249,2012/03/12,2012/03/12/gid_2012_03_12_sdnmlb_colmlb_1/,13:10,Y,115,332248
04:05 PM,S,137,2603,2012/03/12,2012/03/12/gid_2012_03_12_sfnmlb_kcamlb_1/,13:05,E,118,332249
01:05 PM,S,138,2513,2012/03/12,2012/03/12/gid_2012_03_12_slnmlb_wasmlb_1/,13:05,Y,120,332250
04:05 PM,S,140,2530,2012/03/12,2012/03/12/gid_2012_03_12_texmlb_seamlb_1/,13:05,E,136,332251
04:10 PM,S,108,4249,2012/03/13,2012/03/13/gid_2012_03_13_anamlb_arimlb_1/,13:10,Y,109,332252
01:05 PM,S,144,2520,2012/03/13,2012/03/13/gid_2012_03_13_atlmlb_miamlb_1/,13:05,Y,146,332253
07:05 PM,S,111,2523,2012/03/13,2012/03/13/gid_2012_03_13_bosmlb_nyamlb_1/,19:05,Y,147,332254
04:05 PM,S,145,2530,2012/03/13,2012/03/13/gid_2012_03_13_chamlb_sdnmlb_1/,13:05,E,135,332255
04:05 PM,S,112,2532,2012/03/13,2012/03/13/gid_2012_03_13_chnmlb_sfnmlb_1/,13:05,Y,137,332256
04:05 PM,S,113,2603,2012/03/13,2012/03/13/gid_2012_03_13_cinmlb_kcamlb_1/,13:05,E,118,332257
04:05 PM,S,115,3809,2012/03/13,2012/03/13/gid_2012_03_13_colmlb_lanmlb_1/,13:05,Y,119,332258
06:05 PM,S,116,2513,2012/03/13,2012/03/13/gid_2012_03_13_detmlb_wasmlb_1/,18:05,Y,120,332259
04:05 PM,S,158,2524,2012/03/13,2012/03/13/gid_2012_03_13_milmlb_oakmlb_1/,13:05,Y,133,332260
01:05 PM,S,143,2514,2012/03/13,2012/03/13/gid_2012_03_13_phimlb_houmlb_1/,13:05,Y,117,332261
04:05 PM,S,136,2518,2012/03/13,2012/03/13/gid_2012_03_13_seamlb_milmlb_1/,13:05,Y,158,332262
01:10 PM,S,138,2856,2012/03/13,2012/03/13/gid_2012_03_13_slnmlb_nynmlb_1/,13:10,Y,121,332263
01:05 PM,S,139,2508,2012/03/13,2012/03/13/gid_2012_03_13_tbamlb_balmlb_1/,13:05,Y,110,332264
04:05 PM,S,140,3834,2012/03/13,2012/03/13/gid_2012_03_13_texmlb_clemlb_1/,13:05,Y,114,332265
01:05 PM,S,141,2519,2012/03/13,2012/03/13/gid_2012_03_13_tormlb_minmlb_1/,13:05,Y,142,332266
04:05 PM,S,108,3809,2012/03/14,2012/03/14/gid_2012_03_14_anamlb_chamlb_1/,13:05,Y,145,332267
10:10 PM,S,109,4249,2012/03/14,2012/03/14/gid_2012_03_14_arimlb_colmlb_1/,19:10,Y,115,332268
04:05 PM,S,114,2532,2012/03/14,2012/03/14/gid_2012_03_14_clemlb_sfnmlb_1/,13:05,Y,137,332269
04:05 PM,S,115,2603,2012/03/14,2012/03/14/gid_2012_03_14_colmlb_texmlb_1/,13:05,E,140,332270
01:05 PM,S,117,2520,2012/03/14,2012/03/14/gid_2012_03_14_houmlb_slnmlb_1/,13:05,Y,138,332271
10:05 PM,S,118,2530,2012/03/14,2012/03/14/gid_2012_03_14_kcamlb_seamlb_1/,19:05,E,136,332272
10:05 PM,S,119,3834,2012/03/14,2012/03/14/gid_2012_03_14_lanmlb_cinmlb_1/,19:05,Y,113,332273
01:05 PM,S,146,2534,2012/03/14,2012/03/14/gid_2012_03_14_miamlb_tbamlb_1/,13:05,Y,139,332274
04:05 PM,S,158,2507,2012/03/14,2012/03/14/gid_2012_03_14_milmlb_chnmlb_1/,13:05,Y,112,332275
01:05 PM,S,142,2700,2012/03/14,2012/03/14/gid_2012_03_14_minmlb_phimlb_1/,13:05,Y,143,332276
01:05 PM,S,147,2536,2012/03/14,2012/03/14/gid_2012_03_14_nyamlb_tormlb_1/,13:05,Y,141,332277
01:05 PM,S,121,2511,2012/03/14,2012/03/14/gid_2012_03_14_nynmlb_detmlb_1/,13:05,Y,116,332278
