home_team_errors,note,home_team_hits,game_id,away_team_hits,away_team_runs,home_team_runs,away_team_errors
2,,8,2014/03/08/gid_2014_03_08_wasmlb_slnmlb_1/,6,4,4,3
3,,7,2014/03/09/gid_2014_03_09_atlmlb_nynmlb_1/,8,2,8,3
1,,4,2014/03/09/gid_2014_03_09_bosmlb_pitmlb_1/,8,4,1,0
2,,9,2014/03/09/gid_2014_03_09_chamlb_oakmlb_1/,3,2,2,0
0,,7,2014/03/09/gid_2014_03_09_cinmlb_anamlb_1/,5,1,3,0
2,,4,2014/03/09/gid_2014_03_09_colmlb_kcamlb_1/,14,10,1,0
0,,7,2014/03/09/gid_2014_03_09_detmlb_miamlb_1/,4,3,1,0
1,,9,2014/03/09/gid_2014_03_09_milmlb_chnmlb_1/,11,8,10,2
0,,8,2014/03/09/gid_2014_03_09_milmlb_clemlb_1/,8,2,4,1
2,,7,2014/03/09/gid_2014_03_09_phimlb_minmlb_1/,2,1,1,0
1,,16,2014/03/09/gid_2014_03_09_pitmlb_balmlb_1/,5,2,9,0
1,,6,2014/03/09/gid_2014_03_09_sdnmlb_arimlb_1/,8,2,2,3
0,,9,2014/03/09/gid_2014_03_09_sffmin_sfnmlb_1/,7,0,8,0
0,,6,2014/03/09/gid_2014_03_09_sfnmlb_lanmlb_1/,8,3,2,2
0,,15,2014/03/09/gid_2014_03_09_slnmlb_wasmlb_1/,3,1,11,1
2,,9,2014/03/09/gid_2014_03_09_tbamlb_nyamlb_1/,7,3,3,1
2,,15,2014/03/09/gid_2014_03_09_texmlb_seamlb_1/,11,8,9,0
0,,10,2014/03/09/gid_2014_03_09_tormlb_houmlb_1/,11,3,4,1
1,,7,2014/03/10/gid_2014_03_10_anamlb_clemlb_1/,14,8,3,0
2,,6,2014/03/10/gid_2014_03_10_atlmlb_phimlb_1/,11,8,1,1
0,,11,2014/03/10/gid_2014_03_10_balmlb_pitmlb_1/,11,7,6,0
2,,7,2014/03/10/gid_2014_03_10_chamlb_milmlb_1/,11,6,3,0
2,,6,2014/03/10/gid_2014_03_10_chnmlb_sfnmlb_1/,7,3,2,2
0,,9,2014/03/10/gid_2014_03_10_cinmlb_texmlb_1/,10,2,8,2
0,,8,2014/03/10/gid_2014_03_10_detmlb_slnmlb_1/,22,17,5,0
1,,10,2014/03/10/gid_2014_03_10_houmlb_wasmlb_1/,13,7,4,1
2,,6,2014/03/10/gid_2014_03_10_kcamlb_seamlb_1/,10,8,2,1
2,,6,2014/03/10/gid_2014_03_10_miamlb_nynmlb_1/,19,11,1,0
1,,10,2014/03/10/gid_2014_03_10_oakmlb_lanmlb_1/,11,8,8,0
0,,9,2014/03/10/gid_2014_03_10_sdnmlb_colmlb_1/,11,5,0,0
0,,8,2014/03/10/gid_2014_03_10_seamlb_arimlb_1/,6,3,3,0
0,,9,2014/03/10/gid_2014_03_10_tbamlb_bosmlb_1/,8,2,6,0
1,,7,2014/03/11/gid_2014_03_11_bosmlb_balmlb_1/,12,6,5,0
1,,12,2014/03/11/gid_2014_03_11_cannae_tormlb_1/,7,2,12,2
0,,5,2014/03/11/gid_2014_03_11_clemlb_arimlb_1/,14,7,1,0
1,,5,2014/03/11/gid_2014_03_11_colmlb_chnmlb_1/,16,13,0,0
0,,11,2014/03/11/gid_2014_03_11_lanmlb_kcamlb_1/,11,7,5,2
0,,6,2014/03/11/gid_2014_03_11_miamlb_bosmlb_1/,8,5,4,0
1,,11,2014/03/11/gid_2014_03_11_minmlb_tbamlb_1/,4,1,7,1
0,,5,2014/03/11/gid_2014_03_11_nyamlb_wasmlb_1/,4,2,3,0
0,,13,2014/03/11/gid_2014_03_11_nynmlb_slnmlb_1/,14,9,8,1
0,,7,2014/03/11/gid_2014_03_11_oakmlb_sdnmlb_1/,12,5,6,1
0,,12,2014/03/11/gid_2014_03_11_phimlb_atlmlb_1/,2,1,9,0
4,,8,2014/03/11/gid_2014_03_11_seamlb_anamlb_1/,11,10,6,2
1,,8,2014/03/11/gid_2014_03_11_sfnmlb_cinmlb_1/,13,8,5,1
1,None out when winning run scored.,12,2014/03/11/gid_2014_03_11_texmlb_chamlb_1/,12,6,7,3
0,,7,2014/03/11/gid_2014_03_11_tormlb_detmlb_1/,8,3,2,0
1,,5,2014/03/12/gid_2014_03_12_anamlb_texmlb_1/,16,12,1,0
0,,8,2014/03/12/gid_2014_03_12_arimlb_colmlb_1/,12,6,4,1
2,,6,2014/03/12/gid_2014_03_12_arimlb_lanmlb_1/,11,9,2,0
2,,5,2014/03/12/gid_2014_03_12_atlmlb_miamlb_1/,6,3,1,1
1,One out when winning run scored.,9,2014/03/12/gid_2014_03_12_chamlb_sfnmlb_1/,7,3,4,1
3,None out when winning run scored.,13,2014/03/12/gid_2014_03_12_chnmlb_seamlb_1/,12,7,8,1
0,,9,2014/03/12/gid_2014_03_12_cinmlb_colmlb_1/,7,2,3,1
3,,12,2014/03/12/gid_2014_03_12_detmlb_nyamlb_1/,13,7,7,0
1,,6,2014/03/12/gid_2014_03_12_kcamlb_oakmlb_1/,10,3,1,0
2,,15,2014/03/12/gid_2014_03_12_milmlb_anamlb_1/,6,2,12,2
0,,8,2014/03/12/gid_2014_03_12_phimlb_balmlb_1/,12,6,5,0
3,,9,2014/03/12/gid_2014_03_12_pitmlb_minmlb_1/,13,8,4,1
0,,16,2014/03/12/gid_2014_03_12_sdnmlb_clemlb_1/,12,7,12,2
1,,9,2014/03/12/gid_2014_03_12_slnmlb_nynmlb_1/,7,6,4,0
0,,8,2014/03/12/gid_2014_03_12_tbamlb_tormlb_1/,8,5,4,2
2,One out when winning run scored.,8,2014/03/12/gid_2014_03_12_wasmlb_atlmlb_1/,8,2,3,1
2,Two out when winning run scored.,14,2014/03/12/gid_2014_03_12_wasmlb_houmlb_1/,12,9,10,1
1,,15,2014/03/13/gid_2014_03_13_atlmlb_slnmlb_1/,3,0,11,3
1,,10,2014/03/13/gid_2014_03_13_balmlb_nyamlb_1/,6,0,6,2
3,,8,2014/03/13/gid_2014_03_13_bosmlb_minmlb_1/,7,4,3,0
2,,12,2014/03/13/gid_2014_03_13_chamlb_anamlb_1/,12,6,8,2
1,,8,2014/03/13/gid_2014_03_13_cinmlb_lanmlb_1/,12,8,2,0
1,,13,2014/03/13/gid_2014_03_13_colmlb_oakmlb_1/,15,5,10,3
0,,13,2014/03/13/gid_2014_03_13_houmlb_tormlb_1/,12,7,5,0
0,,14,2014/03/13/gid_2014_03_13_kcamlb_clemlb_1/,10,6,12,3
0,,7,2014/03/13/gid_2014_03_13_miamlb_detmlb_1/,10,4,2,2
1,,7,2014/03/13/gid_2014_03_13_milmlb_sdnmlb_1/,12,8,0,0
0,,13,2014/03/13/gid_2014_03_13_nyamlb_phimlb_1/,4,2,6,1
1,,7,2014/03/13/gid_2014_03_13_nynmlb_wasmlb_1/,8,7,5,2
0,,9,2014/03/13/gid_2014_03_13_pitmlb_tbamlb_1/,6,1,4,0
2,,9,2014/03/13/gid_2014_03_13_seamlb_arimlb_1/,12,6,3,0
0,,10,2014/03/13/gid_2014_03_13_sfnmlb_texmlb_1/,10,4,4,0
0,,10,2014/03/14/gid_2014_03_14_anamlb_sdnmlb_1/,8,2,4,0
0,One out when winning run scored.,13,2014/03/14/gid_2014_03_14_arimlb_milmlb_1/,14,8,9,1
0,,5,2014/03/14/gid_2014_03_14_balmlb_minmlb_1/,8,2,2,0
3,,6,2014/03/14/gid_2014_03_14_bosmlb_tormlb_1/,7,3,1,0
0,,9,2014/03/14/gid_2014_03_14_clemlb_chamlb_1/,7,2,2,0
1,,10,2014/03/14/gid_2014_03_14_colmlb_sfnmlb_1/,2,0,4,0
0,,8,2014/03/14/gid_2014_03_14_lanmlb_chnmlb_1/,9,4,5,1
1,,3,2014/03/14/gid_2014_03_14_minmlb_nyamlb_1/,11,7,3,0
0,,3,2014/03/14/gid_2014_03_14_nynmlb_miamlb_1/,6,0,1,0
0,,14,2014/03/14/gid_2014_03_14_oakmlb_kcamlb_1/,12,9,9,2
2,,12,2014/03/14/gid_2014_03_14_phimlb_pitmlb_1/,8,5,6,0
0,,8,2014/03/14/gid_2014_03_14_seamlb_colmlb_1/,7,2,2,1
0,,9,2014/03/14/gid_2014_03_14_slnmlb_houmlb_1/,9,6,4,3
0,,9,2014/03/14/gid_2014_03_14_tbamlb_atlmlb_1/,5,1,6,0
2,,8,2014/03/14/gid_2014_03_14_texmlb_cinmlb_1/,6,1,2,0
0,,22,2014/03/14/gid_2014_03_14_wasmlb_detmlb_1/,10,6,12,0
2,,12,2014/03/15/gid_2014_03_15_anamlb_colmlb_1/,10,4,4,1
0,,11,2014/03/15/gid_2014_03_15_arimlb_clemlb_1/,9,4,2,1
1,,11,2014/03/15/gid_2014_03_15_chnmlb_kcamlb_1/,7,6,5,0
2,,8,2014/03/15/gid_2014_03_15_cinmlb_milmlb_1/,18,16,4,2
0,,18,2014/03/15/gid_2014_03_15_houmlb_detmlb_1/,6,3,14,1
3,,9,2014/03/15/gid_2014_03_15_lanmlb_chamlb_1/,6,4,5,1
1,,0,2014/03/15/gid_2014_03_15_miamlb_nyamlb_1/,7,5,0,0
0,,9,2014/03/15/gid_2014_03_15_minmlb_nynmlb_1/,9,3,3,1
0,,5,2014/03/15/gid_2014_03_15_nyamlb_balmlb_1/,6,1,2,0
1,,7,2014/03/15/gid_2014_03_15_nynmlb_chnmlb_1/,11,9,4,0
0,,4,2014/03/15/gid_2014_03_15_oakmlb_sfnmlb_1/,9,8,1,0
0,,6,2014/03/15/gid_2014_03_15_phimlb_bosmlb_1/,7,4,1,0
0,,8,2014/03/15/gid_2014_03_15_sdnmlb_lanmlb_1/,8,4,5,1
4,,11,2014/03/15/gid_2014_03_15_sfnmlb_seamlb_1/,16,13,6,2
1,,8,2014/03/15/gid_2014_03_15_slnmlb_atlmlb_1/,8,6,2,0
3,,6,2014/03/15/gid_2014_03_15_tbamlb_pitmlb_1/,8,6,3,0
1,,17,2014/03/15/gid_2014_03_15_texmlb_oakmlb_1/,17,16,15,3
0,,9,2014/03/15/gid_2014_03_15_tormlb_tbamlb_1/,6,3,6,1
1,,3,2014/03/15/gid_2014_03_15_wasmlb_miamlb_1/,6,2,1,1
0,,12,2014/03/16/gid_2014_03_16_atlmlb_nyamlb_1/,7,4,7,2
1,Two out when winning run scored.,15,2014/03/16/gid_2014_03_16_balmlb_tormlb_1/,10,3,4,0
0,,10,2014/03/16/gid_2014_03_16_bosmlb_tbamlb_1/,8,4,8,1
1,,15,2014/03/16/gid_2014_03_16_chamlb_texmlb_1/,12,8,14,2
2,,6,2014/03/16/gid_2014_03_16_chnmlb_nynmlb_1/,12,6,3,1
0,,6,2014/03/16/gid_2014_03_16_clemlb_chnmlb_1/,8,3,2,1
0,,4,2014/03/16/gid_2014_03_16_clemlb_sfnmlb_1/,8,5,1,1
1,,9,2014/03/16/gid_2014_03_16_colmlb_lanmlb_1/,9,3,3,1
0,,3,2014/03/16/gid_2014_03_16_detmlb_wasmlb_1/,7,2,1,1
2,,9,2014/03/16/gid_2014_03_16_kcamlb_sdnmlb_1/,18,9,6,1
0,,9,2014/03/16/gid_2014_03_16_miamlb_minmlb_1/,8,2,4,1
0,,0,2014/03/16/gid_2014_03_16_miamlb_nyamlb_1/,0,0,0,0
1,None out when winning run scored.,11,2014/03/16/gid_2014_03_16_milmlb_arimlb_1/,10,5,6,1
1,,1,2014/03/16/gid_2014_03_16_nyamlb_miamlb_1/,15,7,0,2
0,,11,2014/03/16/gid_2014_03_16_nynmlb_slnmlb_1/,19,10,4,1
1,,10,2014/03/16/gid_2014_03_16_oakmlb_cinmlb_1/,6,6,7,1
0,,6,2014/03/16/gid_2014_03_16_pitmlb_phimlb_1/,9,5,0,0
1,,6,2014/03/16/gid_2014_03_16_seamlb_anamlb_1/,8,5,3,1
1,,8,2014/03/16/gid_2014_03_16_wasmlb_houmlb_1/,12,4,3,0
0,,6,2014/03/17/gid_2014_03_17_anamlb_chnmlb_1/,7,2,4,0
0,,2,2014/03/17/gid_2014_03_17_atlmlb_houmlb_1/,8,4,0,1
0,,0,2014/03/17/gid_2014_03_17_balmlb_phimlb_1/,0,0,0,0
1,,4,2014/03/17/gid_2014_03_17_chamlb_milmlb_1/,12,9,0,1
1,,10,2014/03/17/gid_2014_03_17_chnmlb_oakmlb_1/,7,2,6,0
0,One out when winning run scored.,12,2014/03/17/gid_2014_03_17_clemlb_cinmlb_1/,9,4,5,2
1,,11,2014/03/17/gid_2014_03_17_colmlb_sdnmlb_1/,17,9,7,1
0,,0,2014/03/17/gid_2014_03_17_nyamlb_pitmlb_1/,0,0,0,0
1,,12,2014/03/17/gid_2014_03_17_nynmlb_miamlb_1/,9,7,10,2
1,One out when winning run scored.,9,2014/03/17/gid_2014_03_17_sfnmlb_anamlb_1/,9,7,8,1
