stadiumID,sun_endCivilTwilight,venue_w_chan_loc,sunRise,sunSet,sun_upperTransit,gameID,name,location,sun_beginCivilTwilight
2700,N/A,USFL0084,N/A,N/A,N/A,2012/03/08/gid_2012_03_08_pitmlb_phimlb_1/,Bright House Field,"Clearwater, FL",N/A
2507,N/A,USAZ0136,N/A,N/A,N/A,2012/03/08/gid_2012_03_08_seamlb_chnmlb_1/,HoHoKam Park,"Mesa, AZ",N/A
2530,N/A,USAZ0162,N/A,N/A,N/A,2012/03/08/gid_2012_03_08_sfnmlb_sdnmlb_1/,Peoria Stadium,"Peoria, AZ",N/A
2519,N/A,USFL0152,N/A,N/A,N/A,2012/03/08/gid_2012_03_08_tbamlb_minmlb_1/,Lee County Sports Complex,"Lee County, FL",N/A
2530,N/A,USAZ0162,N/A,N/A,N/A,2012/03/09/gid_2012_03_09_arimlb_seamlb_1/,Peoria Stadium,"Peoria, AZ",N/A
2523,N/A,USFL0481,N/A,N/A,N/A,2012/03/09/gid_2012_03_09_atlmlb_nyamlb_1/,George M. Steinbrenner Field,"Tampa, FL",N/A
2534,N/A,USFL0415,N/A,N/A,N/A,2012/03/09/gid_2012_03_09_balmlb_tbamlb_1/,Charlotte Sports Park,"Port Charlotte, FL",N/A
3809,N/A,USAZ0083,N/A,N/A,N/A,2012/03/09/gid_2012_03_09_chnmlb_chamlb_1/,Camelback Ranch,"Glendale, AZ",N/A
2532,N/A,USAZ0207,N/A,N/A,N/A,2012/03/09/gid_2012_03_09_cinmlb_sfnmlb_1/,Scottsdale Stadium,"Scottsdale, AZ",N/A
2518,N/A,USAZ0166,N/A,N/A,N/A,2012/03/09/gid_2012_03_09_clemlb_milmlb_1/,Maryvale Baseball Park,"Phoenix, AZ",N/A
3834,N/A,USAZ0087,N/A,N/A,N/A,2012/03/09/gid_2012_03_09_kcamlb_cinmlb_1/,Goodyear Ballpark,"Goodyear, AZ",N/A
2603,N/A,USAZ0229,N/A,N/A,N/A,2012/03/09/gid_2012_03_09_lanmlb_texmlb_1/,Surprise Stadium,"Surprise, AZ",N/A
2504,N/A,USFL0372,N/A,N/A,N/A,2012/03/09/gid_2012_03_09_nynmlb_atlmlb_1/,Champion Stadium,"Lake Buena Vista, FL",N/A
4249,N/A,USAZ0207,N/A,N/A,N/A,2012/03/09/gid_2012_03_09_oakmlb_colmlb_1/,Salt River Fields at Talking Stick,"Scottsdale, AZ",N/A
2511,N/A,USFL0267,N/A,N/A,N/A,2012/03/09/gid_2012_03_09_phimlb_detmlb_1/,Joker Marchant Stadium,"Lakeland, FL",N/A
4309,N/A,USFL0152,N/A,N/A,N/A,2012/03/09/gid_2012_03_09_pitmlb_bosmlb_1/,JetBlue Park,"Ft. Myers, FL",N/A
2500,N/A,USAZ0233,N/A,N/A,N/A,2012/03/09/gid_2012_03_09_sdnmlb_anamlb_1/,Tempe Diablo Stadium,"Tempe, AZ",N/A
2519,N/A,USFL0152,N/A,N/A,N/A,2012/03/09/gid_2012_03_09_slnmlb_minmlb_1/,Lee County Sports Complex,"Lee County, FL",N/A
2514,N/A,USFL0248,N/A,N/A,N/A,2012/03/09/gid_2012_03_09_tormlb_houmlb_1/,Osceola County Stadium,"Kissimmee, FL",N/A
2520,N/A,USFL0237,N/A,N/A,N/A,2012/03/09/gid_2012_03_09_wasmlb_miamlb_1/,Roger Dean Stadium,"Jupiter, FL",N/A
2700,N/A,USFL0084,N/A,N/A,N/A,2012/03/10/gid_2012_03_10_balmlb_phimlb_1/,Bright House Field,"Clearwater, FL",N/A
2518,N/A,USAZ0166,N/A,N/A,N/A,2012/03/10/gid_2012_03_10_chnmlb_milmlb_1/,Maryvale Baseball Park,"Phoenix, AZ",N/A
