home_team_code,venue_id,home_wins,away_team_code,status_ind,home_id,game_id,away_wins,game_pk,date,home_sname,home_sport_code,away_id,away_sname,away_loss,home_loss,away_fname,home_fname,venue_name
bal,2508,2,min,F,110,2014/03/03/gid_2014_03_03_minmlb_balmlb_1/,4,396151,"March 3, 2014",Baltimore,mlb,142,Minnesota,1,2,Minnesota Twins,Baltimore Orioles,Ed Smith Stadium
atl,2504,0,nyn,F,144,2014/03/03/gid_2014_03_03_nynmlb_atlmlb_1/,1,396132,"March 3, 2014",Atlanta,mlb,121,NY Mets,3,6,New York Mets,Atlanta Braves,Champion Stadium
tba,2534,2,phi,F,139,2014/03/03/gid_2014_03_03_phimlb_tbamlb_1/,1,396519,"March 3, 2014",Tampa Bay,mlb,143,Philadelphia,5,1,Philadelphia Phillies,Tampa Bay Rays,Charlotte Sports Park
sfn,2532,2,sdn,F,137,2014/03/03/gid_2014_03_03_sdnmlb_sfnmlb_1/,1,396476,"March 3, 2014",San Francisco,mlb,135,San Diego,4,3,San Diego Padres,San Francisco Giants,Scottsdale Stadium
cin,3834,3,sea,F,113,2014/03/03/gid_2014_03_03_seamlb_cinmlb_1/,5,396216,"March 3, 2014",Cincinnati,mlb,136,Seattle,1,3,Seattle Mariners,Cincinnati Reds,Goodyear Ballpark
det,2511,4,sln,F,116,2014/03/03/gid_2014_03_03_slnmlb_detmlb_1/,1,396264,"March 3, 2014",Detroit,mlb,138,St. Louis,3,2,St. Louis Cardinals,Detroit Tigers,Joker Marchant Stadium
min,2862,4,tor,F,142,2014/03/03/gid_2014_03_03_tormlb_minmlb_1/,3,396362,"March 3, 2014",Minnesota,mlb,141,Toronto,3,1,Toronto Blue Jays,Minnesota Twins,Hammond Stadium
nya,2523,4,was,F,147,2014/03/03/gid_2014_03_03_wasmlb_nyamlb_1/,3,396396,"March 3, 2014",NY Yankees,mlb,120,Washington,1,2,Washington Nationals,New York Yankees,George M. Steinbrenner Field
sdn,2530,1,ari,F,135,2014/03/04/gid_2014_03_04_arimlb_sdnmlb_1/,5,396458,"March 4, 2014",San Diego,mlb,109,Arizona,4,5,Arizona Diamondbacks,San Diego Padres,Peoria Stadium
nya,2523,4,bal,F,147,2014/03/04/gid_2014_03_04_balmlb_nyamlb_1/,3,396397,"March 4, 2014",NY Yankees,mlb,110,Baltimore,2,3,Baltimore Orioles,New York Yankees,George M. Steinbrenner Field
cle,3834,5,cha,F,114,2014/03/04/gid_2014_03_04_chamlb_clemlb_1/,2,396232,"March 4, 2014",Cleveland,mlb,145,Chi White Sox,2,1,Chicago White Sox,Cleveland Indians,Goodyear Ballpark
kca,2603,4,cin,F,118,2014/03/04/gid_2014_03_04_cinmlb_kcamlb_1/,3,396293,"March 4, 2014",Kansas City,mlb,113,Cincinnati,4,2,Cincinnati Reds,Kansas City Royals,Surprise Stadium
nyn,2856,2,hou,F,121,2014/03/04/gid_2014_03_04_houmlb_nynmlb_1/,3,396381,"March 4, 2014",NY Mets,mlb,117,Houston,2,3,Houston Astros,New York Mets,Tradition Field
oak,2524,5,mil,F,133,2014/03/04/gid_2014_03_04_milmlb_oakmlb_1/,3,396414,"March 4, 2014",Oakland,mlb,158,Milwaukee,4,2,Milwaukee Brewers,Oakland Athletics,Phoenix Municipal Stadium
mia,2520,4,min,F,146,2014/03/04/gid_2014_03_04_minmlb_miamlb_1/,4,396334,"March 4, 2014",Miami,mlb,142,Minnesota,2,2,Minnesota Twins,Miami Marlins,Roger Dean Stadium
chn,4629,2,oak,F,112,2014/03/04/gid_2014_03_04_oakmlb_chnmlb_1/,5,396185,"March 4, 2014",Chi Cubs,mlb,133,Oakland,2,3,Oakland Athletics,Chicago Cubs,Cubs Park
det,2511,4,pit,F,116,2014/03/04/gid_2014_03_04_pitmlb_detmlb_1/,5,396265,"March 4, 2014",Detroit,mlb,134,Pittsburgh,1,3,Pittsburgh Pirates,Detroit Tigers,Joker Marchant Stadium
lan,3809,2,sea,F,119,2014/03/04/gid_2014_03_04_seamlb_lanmlb_1/,6,396323,"March 4, 2014",LA Dodgers,mlb,136,Seattle,1,4,Seattle Mariners,Los Angeles Dodgers,Camelback Ranch
col,4249,1,sfn,F,115,2014/03/04/gid_2014_03_04_sfnmlb_colmlb_1/,3,396245,"March 4, 2014",Colorado,mlb,137,San Francisco,3,5,San Francisco Giants,Colorado Rockies,Salt River Fields at Talking Stick
bos,4309,1,tba,F,111,2014/03/04/gid_2014_03_04_tbamlb_bosmlb_1/,3,396169,"March 4, 2014",Boston,mlb,139,Tampa Bay,1,4,Tampa Bay Rays,Boston Red Sox,JetBlue Park
ana,2500,3,tex,F,108,2014/03/04/gid_2014_03_04_texmlb_anamlb_1/,1,396307,"March 4, 2014",LA Angels,mlb,140,Texas,4,2,Texas Rangers,Los Angeles Angels,Tempe Diablo Stadium
phi,2700,1,tor,F,143,2014/03/04/gid_2014_03_04_tormlb_phimlb_1/,4,396428,"March 4, 2014",Philadelphia,mlb,141,Toronto,3,6,Toronto Blue Jays,Philadelphia Phillies,Bright House Field
atl,2504,1,was,F,144,2014/03/04/gid_2014_03_04_wasmlb_atlmlb_1/,3,396133,"March 4, 2014",Atlanta,mlb,120,Washington,2,6,Washington Nationals,Atlanta Braves,Champion Stadium
sfn,2532,4,ana,F,137,2014/03/05/gid_2014_03_05_anamlb_sfnmlb_1/,3,396477,"March 5, 2014",San Francisco,mlb,108,LA Angels,3,3,Los Angeles Angels,San Francisco Giants,Scottsdale Stadium
phi,2700,1,atl,FT,143,2014/03/05/gid_2014_03_05_atlmlb_phimlb_1/,1,396429,"March 5, 2014",Philadelphia,mlb,144,Atlanta,6,6,Atlanta Braves,Philadelphia Phillies,Bright House Field
min,2862,4,bal,F,142,2014/03/05/gid_2014_03_05_balmlb_minmlb_1/,4,396363,"March 5, 2014",Minnesota,mlb,110,Baltimore,2,3,Baltimore Orioles,Minnesota Twins,Hammond Stadium
sln,2520,2,bos,F,138,2014/03/05/gid_2014_03_05_bosmlb_slnmlb_1/,1,396505,"March 5, 2014",St. Louis,mlb,111,Boston,5,3,Boston Red Sox,St. Louis Cardinals,Roger Dean Stadium
sea,2530,6,cle,F,136,2014/03/05/gid_2014_03_05_clemlb_seamlb_1/,6,396491,"March 5, 2014",Seattle,mlb,114,Cleveland,1,2,Cleveland Indians,Seattle Mariners,Peoria Stadium
chn,4629,2,col,F,112,2014/03/05/gid_2014_03_05_colmlb_chnmlb_1/,3,396186,"March 5, 2014",Chi Cubs,mlb,115,Colorado,5,4,Colorado Rockies,Chicago Cubs,Cubs Park
tex,2603,1,col,F,140,2014/03/05/gid_2014_03_05_colmlb_texmlb_1/,3,396534,"March 5, 2014",Texas,mlb,115,Colorado,5,5,Colorado Rockies,Texas Rangers,Surprise Stadium
hou,2514,3,det,F,117,2014/03/05/gid_2014_03_05_detmlb_houmlb_1/,5,396279,"March 5, 2014",Houston,mlb,116,Detroit,3,3,Detroit Tigers,Houston Astros,Osceola County Stadium
ari,4249,5,kca,F,109,2014/03/05/gid_2014_03_05_kcamlb_arimlb_1/,5,396120,"March 5, 2014",Arizona,mlb,118,Kansas City,2,5,Kansas City Royals,Arizona Diamondbacks,Salt River Fields at Talking Stick
