gameID,gameDate,type,local_gamE_time,game_pk,game_time_et,gameday_sw,home_team_id,away_team_id,stadiumID
2012/03/10/gid_2012_03_10_balmlb_phimlb_1/,2012/03/10,S,13:05,332200,"01:05 PM",Y,143,110,2700
2012/03/10/gid_2012_03_10_chnmlb_milmlb_1/,2012/03/10,S,13:05,332202,"03:05 PM",Y,158,112,2518
2012/03/10/gid_2012_03_10_cinmlb_oakmlb_1/,2012/03/10,S,13:05,332203,"03:05 PM",Y,133,113,2524
2012/03/10/gid_2012_03_10_colmlb_kcamlb_1/,2012/03/10,S,13:05,332204,"03:05 PM",E,118,115,2603
2012/03/10/gid_2012_03_10_houmlb_tormlb_1/,2012/03/10,S,13:05,332205,"01:05 PM",Y,141,117,2536
2012/03/10/gid_2012_03_10_lanmlb_chamlb_1/,2012/03/10,S,19:05,332201,"09:05 PM",Y,145,119,3809
2012/03/10/gid_2012_03_10_lanmlb_seamlb_1/,2012/03/10,S,13:05,332206,"03:05 PM",E,136,119,2530
2012/03/10/gid_2012_03_10_milmlb_sfnmlb_1/,2012/03/10,S,13:05,332207,"03:05 PM",Y,137,158,2532
2012/03/10/gid_2012_03_10_minmlb_pitmlb_1/,2012/03/10,S,13:05,332208,"01:05 PM",Y,134,142,2526
2012/03/10/gid_2012_03_10_nyamlb_atlmlb_1/,2012/03/10,S,13:05,332209,"01:05 PM",Y,144,147,2504
2012/03/10/gid_2012_03_10_nynmlb_wasmlb_1/,2012/03/10,S,13:05,332210,"01:05 PM",Y,120,121,2513
2012/03/10/gid_2012_03_10_sdnmlb_clemlb_1/,2012/03/10,S,14:05,332211,"04:05 PM",Y,114,135,3834
2012/03/10/gid_2012_03_10_seamlb_arimlb_1/,2012/03/10,S,19:10,332212,"09:10 PM",Y,109,136,4249
2012/03/10/gid_2012_03_10_sfnmlb_anamlb_1/,2012/03/10,S,13:05,332213,"03:05 PM",Y,108,137,2500
2012/03/10/gid_2012_03_10_slnmlb_miamlb_1/,2012/03/10,S,13:05,332214,"01:05 PM",Y,146,138,2520
2012/03/10/gid_2012_03_10_tbamlb_bosmlb_1/,2012/03/10,S,19:05,332215,"07:05 PM",Y,111,139,4309
2012/03/10/gid_2012_03_10_texmlb_chamlb_1/,2012/03/10,S,13:05,332216,"03:05 PM",Y,145,140,3809
2012/03/10/gid_2012_03_10_wasmlb_detmlb_1/,2012/03/10,S,13:05,332217,"01:05 PM",Y,116,120,2511
2012/03/11/gid_2012_03_11_anamlb_cinmlb_1/,2012/03/11,S,13:05,332218,"04:05 PM",Y,113,108,3834
2012/03/11/gid_2012_03_11_arimlb_sdnmlb_1/,2012/03/11,S,13:05,332219,"04:05 PM",E,135,109,2530
2012/03/11/gid_2012_03_11_atlmlb_tormlb_1/,2012/03/11,S,13:05,332220,"01:05 PM",Y,141,144,2536
2012/03/11/gid_2012_03_11_bosmlb_balmlb_1/,2012/03/11,S,13:05,332221,"01:05 PM",Y,110,111,2508
2012/03/11/gid_2012_03_11_chamlb_colmlb_1/,2012/03/11,S,13:10,332222,"04:10 PM",Y,115,145,4249
2012/03/11/gid_2012_03_11_chnmlb_lanmlb_1/,2012/03/11,S,12:05,332223,"03:05 PM",Y,119,112,3809
2012/03/11/gid_2012_03_11_clemlb_anamlb_1/,2012/03/11,S,13:05,332224,"04:05 PM",Y,108,114,2500
2012/03/11/gid_2012_03_11_clemlb_texmlb_1/,2012/03/11,S,13:05,332225,"04:05 PM",E,140,114,2603
2012/03/11/gid_2012_03_11_colmlb_milmlb_1/,2012/03/11,S,13:05,332226,"04:05 PM",Y,158,115,2518
2012/03/11/gid_2012_03_11_detmlb_houmlb_1/,2012/03/11,S,13:05,332227,"01:05 PM",Y,117,116,2514
2012/03/11/gid_2012_03_11_detmlb_phimlb_1/,2012/03/11,S,13:05,332228,"01:05 PM",Y,143,116,2700
2012/03/11/gid_2012_03_11_kcamlb_oakmlb_1/,2012/03/11,S,13:05,332229,"04:05 PM",Y,133,118,2524
2012/03/11/gid_2012_03_11_miamlb_nynmlb_1/,2012/03/11,S,13:10,332230,"01:10 PM",Y,121,146,2856
2012/03/11/gid_2012_03_11_nyamlb_minmlb_1/,2012/03/11,S,13:05,332231,"01:05 PM",Y,142,147,2519
2012/03/11/gid_2012_03_11_phimlb_nyamlb_1/,2012/03/11,S,13:05,332232,"01:05 PM",Y,147,143,2523
2012/03/11/gid_2012_03_11_pitmlb_tbamlb_1/,2012/03/11,S,13:05,332233,"01:05 PM",Y,139,134,2534
2012/03/11/gid_2012_03_11_seamlb_sfnmlb_1/,2012/03/11,S,13:05,332234,"04:05 PM",Y,137,136,2532
2012/03/11/gid_2012_03_11_tormlb_atlmlb_2/,2012/03/11,S,13:05,332235,"01:05 PM",Y,144,141,2504
2012/03/11/gid_2012_03_11_wasmlb_slnmlb_1/,2012/03/11,S,13:05,332236,"01:05 PM",Y,138,120,2520
2012/03/12/gid_2012_03_12_arimlb_clemlb_1/,2012/03/12,S,13:05,332237,"04:05 PM",Y,114,109,3834
2012/03/12/gid_2012_03_12_atlmlb_slnmlb_1/,2012/03/12,S,13:05,332238,"01:05 PM",Y,138,144,2520
2012/03/12/gid_2012_03_12_balmlb_tormlb_1/,2012/03/12,S,13:05,332239,"01:05 PM",Y,141,110,2536
2012/03/12/gid_2012_03_12_cinmlb_chnmlb_1/,2012/03/12,S,13:05,332240,"04:05 PM",Y,112,113,2507
2012/03/12/gid_2012_03_12_houmlb_nyamlb_1/,2012/03/12,S,19:05,332241,"07:05 PM",Y,147,117,2523
2012/03/12/gid_2012_03_12_lanmlb_anamlb_1/,2012/03/12,S,13:05,332242,"04:05 PM",Y,108,119,2500
2012/03/12/gid_2012_03_12_miamlb_bosmlb_1/,2012/03/12,S,13:35,332243,"01:35 PM",Y,111,146,4309
2012/03/12/gid_2012_03_12_minmlb_tbamlb_1/,2012/03/12,S,13:05,332244,"01:05 PM",Y,139,142,2534
2012/03/12/gid_2012_03_12_nynmlb_detmlb_1/,2012/03/12,S,13:05,332245,"01:05 PM",Y,116,121,2511
2012/03/12/gid_2012_03_12_oakmlb_chamlb_1/,2012/03/12,S,13:05,332246,"04:05 PM",Y,145,133,3809
2012/03/12/gid_2012_03_12_phimlb_pitmlb_1/,2012/03/12,S,13:05,332247,"01:05 PM",Y,134,143,2526
2012/03/12/gid_2012_03_12_sdnmlb_colmlb_1/,2012/03/12,S,13:10,332248,"04:10 PM",Y,115,135,4249
2012/03/12/gid_2012_03_12_sfnmlb_kcamlb_1/,2012/03/12,S,13:05,332249,"04:05 PM",E,118,137,2603
2012/03/12/gid_2012_03_12_slnmlb_wasmlb_1/,2012/03/12,S,13:05,332250,"01:05 PM",Y,120,138,2513
2012/03/12/gid_2012_03_12_texmlb_seamlb_1/,2012/03/12,S,13:05,332251,"04:05 PM",E,136,140,2530
2012/03/13/gid_2012_03_13_anamlb_arimlb_1/,2012/03/13,S,13:10,332252,"04:10 PM",Y,109,108,4249
2012/03/13/gid_2012_03_13_atlmlb_miamlb_1/,2012/03/13,S,13:05,332253,"01:05 PM",Y,146,144,2520
2012/03/13/gid_2012_03_13_bosmlb_nyamlb_1/,2012/03/13,S,19:05,332254,"07:05 PM",Y,147,111,2523
2012/03/13/gid_2012_03_13_chamlb_sdnmlb_1/,2012/03/13,S,13:05,332255,"04:05 PM",E,135,145,2530
2012/03/13/gid_2012_03_13_chnmlb_sfnmlb_1/,2012/03/13,S,13:05,332256,"04:05 PM",Y,137,112,2532
2012/03/13/gid_2012_03_13_cinmlb_kcamlb_1/,2012/03/13,S,13:05,332257,"04:05 PM",E,118,113,2603
2012/03/13/gid_2012_03_13_colmlb_lanmlb_1/,2012/03/13,S,13:05,332258,"04:05 PM",Y,119,115,3809
2012/03/13/gid_2012_03_13_detmlb_wasmlb_1/,2012/03/13,S,18:05,332259,"06:05 PM",Y,120,116,2513
2012/03/13/gid_2012_03_13_milmlb_oakmlb_1/,2012/03/13,S,13:05,332260,"04:05 PM",Y,133,158,2524
2012/03/13/gid_2012_03_13_phimlb_houmlb_1/,2012/03/13,S,13:05,332261,"01:05 PM",Y,117,143,2514
2012/03/13/gid_2012_03_13_seamlb_milmlb_1/,2012/03/13,S,13:05,332262,"04:05 PM",Y,158,136,2518
2012/03/13/gid_2012_03_13_slnmlb_nynmlb_1/,2012/03/13,S,13:10,332263,"01:10 PM",Y,121,138,2856
2012/03/13/gid_2012_03_13_tbamlb_balmlb_1/,2012/03/13,S,13:05,332264,"01:05 PM",Y,110,139,2508
2012/03/13/gid_2012_03_13_texmlb_clemlb_1/,2012/03/13,S,13:05,332265,"04:05 PM",Y,114,140,3834
2012/03/13/gid_2012_03_13_tormlb_minmlb_1/,2012/03/13,S,13:05,332266,"01:05 PM",Y,142,141,2519
2012/03/14/gid_2012_03_14_anamlb_chamlb_1/,2012/03/14,S,13:05,332267,"04:05 PM",Y,145,108,3809
2012/03/14/gid_2012_03_14_arimlb_colmlb_1/,2012/03/14,S,19:10,332268,"10:10 PM",Y,115,109,4249
2012/03/14/gid_2012_03_14_clemlb_sfnmlb_1/,2012/03/14,S,13:05,332269,"04:05 PM",Y,137,114,2532
2012/03/14/gid_2012_03_14_colmlb_texmlb_1/,2012/03/14,S,13:05,332270,"04:05 PM",E,140,115,2603
2012/03/14/gid_2012_03_14_houmlb_slnmlb_1/,2012/03/14,S,13:05,332271,"01:05 PM",Y,138,117,2520
2012/03/14/gid_2012_03_14_kcamlb_seamlb_1/,2012/03/14,S,19:05,332272,"10:05 PM",E,136,118,2530
2012/03/14/gid_2012_03_14_lanmlb_cinmlb_1/,2012/03/14,S,19:05,332273,"10:05 PM",Y,113,119,3834
